Age,Income,LoanAmount,CreditScore,Married,Education,Gender,Approved
36,198394,13212,799,Yes,Graduate,Male,1
56,298720,39882,366,No,Non-Graduate,Male,1
49,164670,47361,753,Yes,Non-Graduate,Female,1
42,41605,53016,468,Yes,Graduate,Male,0
62,21044,62055,666,Yes,Non-Graduate,Female,0
36,55169,93576,710,No,Graduate,Female,0
43,167631,125064,603,No,Graduate,Male,0
25,368103,197486,375,Yes,Non-Graduate,Female,1
42,174062,200477,471,Yes,Graduate,Male,0
26,356373,226194,605,Yes,Graduate,Male,1
63,364043,236884,703,Yes,Graduate,Male,1
39,195505,253761,810,No,Non-Graduate,Female,1
61,378278,260139,364,Yes,Non-Graduate,Male,1
28,338275,273369,544,No,Non-Graduate,Male,1
41,297833,295356,362,Yes,Non-Graduate,Female,1
35,156066,306177,484,No,Non-Graduate,Male,0
39,278360,318697,631,No,Non-Graduate,Male,0
21,310011,345983,439,Yes,Non-Graduate,Female,1
24,116516,356990,681,No,Non-Graduate,Female,1
63,209518,359760,428,No,Graduate,Male,0
53,164923,364182,376,No,Graduate,Female,0
28,106803,391856,708,No,Graduate,Female,1
58,233262,406904,653,No,Non-Graduate,Female,1
57,128612,454842,459,No,Graduate,Female,0
47,297392,457564,713,No,Graduate,Male,1
37,211007,466195,614,No,Non-Graduate,Female,0
36,239499,486015,374,Yes,Graduate,Female,1
55,229966,486684,795,Yes,Non-Graduate,Male,1
40,351747,489177,610,Yes,Non-Graduate,Female,1
39,196355,493791,335,Yes,Non-Graduate,Female,0
43,34016,529676,575,No,Graduate,Male,0
21,219783,534252,609,Yes,Non-Graduate,Male,1
56,36138,541562,817,No,Non-Graduate,Male,0
34,90400,579503,714,Yes,Non-Graduate,Male,1
26,163250,615599,394,No,Non-Graduate,Female,0
31,82119,617648,318,Yes,Non-Graduate,Male,1
48,260028,637475,548,No,Graduate,Male,1
61,224736,684075,478,No,Graduate,Male,1
54,262840,738165,346,No,Non-Graduate,Male,0
24,93704,752476,348,Yes,Non-Graduate,Male,0
35,165486,769848,684,No,Non-Graduate,Female,0
40,126471,794514,489,No,Graduate,Female,1
33,345899,805415,605,No,Non-Graduate,Male,1
37,43664,820713,601,Yes,Graduate,Male,0
36,334941,828706,522,Yes,Non-Graduate,Male,1
36,130489,839119,618,Yes,Non-Graduate,Female,0
64,192275,851618,812,Yes,Graduate,Female,1
48,77823,860122,497,Yes,Graduate,Male,0
61,122421,888835,777,Yes,Non-Graduate,Female,1
31,200536,911111,578,Yes,Graduate,Female,1
47,170635,918521,666,No,Non-Graduate,Female,0
21,69297,918573,433,No,Graduate,Female,0
43,322621,942280,347,No,Graduate,Male,1
48,346968,955424,590,No,Graduate,Female,1
60,166702,964227,493,Yes,Non-Graduate,Female,0
36,136074,989581,359,Yes,Graduate,Female,0
26,106436,996275,342,No,Non-Graduate,Male,0
22,314499,1004199,464,Yes,Graduate,Female,1
56,40922,1010294,655,Yes,Non-Graduate,Male,0
40,342534,1023295,445,Yes,Non-Graduate,Female,1
26,268099,1044023,748,Yes,Graduate,Female,1
48,208929,1044549,408,No,Graduate,Female,0
48,110417,1044780,670,No,Graduate,Female,0
63,262277,1045598,658,Yes,Non-Graduate,Female,1
48,52574,1047904,815,Yes,Graduate,Female,0
22,203258,1051431,499,No,Non-Graduate,Male,1
47,53896,1053423,433,No,Non-Graduate,Female,0
62,105283,1067980,697,Yes,Graduate,Female,0
22,274793,1068335,453,No,Graduate,Female,1
61,239606,1113183,827,No,Non-Graduate,Female,1
63,223305,1125059,517,No,Non-Graduate,Male,1
48,46950,1129816,818,Yes,Graduate,Female,0
40,328838,1146263,802,Yes,Graduate,Female,1
34,91042,1181758,494,No,Graduate,Male,0
62,273478,1183077,574,Yes,Graduate,Female,1
57,323255,1200866,706,No,Graduate,Female,1
54,99071,1226953,717,No,Graduate,Male,1
24,52888,1245340,832,Yes,Non-Graduate,Male,0
47,100152,1255749,798,No,Graduate,Male,1
30,85524,1289372,597,No,Graduate,Male,0
51,361932,1320646,751,Yes,Graduate,Male,1
34,357177,1337877,573,Yes,Non-Graduate,Male,1
30,394614,1340657,638,Yes,Graduate,Female,1
32,353112,1342907,520,No,Graduate,Female,1
45,163988,1352643,698,Yes,Graduate,Male,1
46,272358,1374981,717,No,Graduate,Male,1
28,129321,1407955,364,No,Non-Graduate,Female,0
38,134003,1428351,650,Yes,Non-Graduate,Female,1
61,112837,1443043,416,Yes,Non-Graduate,Female,0
44,225380,1516440,841,Yes,Non-Graduate,Male,1
52,287956,1538362,311,Yes,Graduate,Female,1
48,239222,1545410,366,No,Non-Graduate,Male,0
37,397338,1549152,639,No,Non-Graduate,Male,1
57,332849,1570121,738,No,Graduate,Male,1
62,393957,1599291,820,No,Non-Graduate,Female,1
25,254337,1604575,516,No,Graduate,Female,1
59,318983,1622850,657,Yes,Non-Graduate,Male,1
32,63723,1630706,629,Yes,Non-Graduate,Male,1
64,199689,1665464,351,No,Graduate,Female,0
21,370164,1670102,435,No,Graduate,Female,1
49,59601,1672060,422,No,Non-Graduate,Male,0
24,245461,1696279,675,Yes,Graduate,Male,1
49,295307,1716722,555,No,Graduate,Female,1
54,394695,1722189,757,Yes,Graduate,Female,1
21,361342,1727222,749,Yes,Non-Graduate,Male,1
39,199001,1734620,821,Yes,Graduate,Female,1
30,174226,1743391,558,Yes,Graduate,Female,0
33,151763,1771331,593,Yes,Graduate,Male,0
33,276139,1772204,618,No,Non-Graduate,Female,1
54,61347,1846082,332,Yes,Graduate,Male,0
53,40655,1848346,638,Yes,Graduate,Female,0
38,254085,1849968,825,Yes,Non-Graduate,Male,1
25,110054,1854040,645,No,Graduate,Male,0
27,389738,1887330,726,No,Graduate,Female,1
44,271713,1907465,386,No,Non-Graduate,Female,1
50,195207,1914400,802,No,Non-Graduate,Female,0
25,363550,1982645,524,No,Non-Graduate,Male,1
51,217466,1983915,537,No,Non-Graduate,Female,1
57,33444,1987247,605,No,Graduate,Male,0
42,159143,1997881,368,No,Graduate,Male,0
38,56021,2002719,673,No,Non-Graduate,Male,0
54,139415,2034676,474,No,Non-Graduate,Female,0
51,256974,2105383,584,No,Non-Graduate,Male,1
60,33265,2116040,551,No,Graduate,Female,0
43,82182,2127709,361,No,Non-Graduate,Male,0
27,346424,2151549,388,No,Graduate,Male,1
64,152475,2153781,334,Yes,Non-Graduate,Male,1
33,206720,2213087,721,Yes,Graduate,Male,1
56,57860,2213092,311,Yes,Graduate,Female,0
46,108302,2224979,488,Yes,Graduate,Female,1
41,251414,2261347,751,Yes,Non-Graduate,Male,0
23,393839,2266376,510,Yes,Non-Graduate,Male,1
44,228281,2288569,338,No,Graduate,Female,1
28,376778,2302056,354,No,Non-Graduate,Female,1
33,237984,2328890,742,Yes,Non-Graduate,Male,1
27,290047,2333985,598,Yes,Graduate,Female,1
62,340903,2351978,720,No,Non-Graduate,Male,1
21,134560,2385093,669,Yes,Non-Graduate,Male,0
21,194326,2388772,474,Yes,Non-Graduate,Male,0
55,254873,2409009,791,Yes,Non-Graduate,Female,1
49,392646,2412112,787,No,Graduate,Female,1
51,111563,2459851,381,Yes,Non-Graduate,Male,0
47,165006,2472282,813,No,Graduate,Female,1
21,349933,2504903,681,No,Graduate,Female,1
29,21620,2507838,564,Yes,Non-Graduate,Male,0
55,378234,2508544,612,No,Non-Graduate,Male,1
23,275792,2564131,715,Yes,Graduate,Male,1
23,92833,2616041,479,No,Graduate,Male,0
23,388894,2635263,596,No,Graduate,Male,1
27,348468,2641550,784,Yes,Graduate,Male,1
41,353478,2662808,668,No,Graduate,Female,1
32,104664,2701207,529,No,Non-Graduate,Female,0
28,111038,2736427,421,Yes,Graduate,Female,1
31,229658,2773357,639,No,Graduate,Male,1
28,389193,2801671,688,Yes,Non-Graduate,Female,1
63,123864,2811818,755,Yes,Non-Graduate,Female,1
41,225782,2846934,691,Yes,Graduate,Female,1
35,30514,2847689,411,Yes,Graduate,Female,0
56,38768,2849611,660,Yes,Graduate,Female,0
38,228434,2883382,346,No,Graduate,Male,0
51,335929,2928634,571,No,Graduate,Male,1
25,106226,2939386,490,No,Graduate,Male,1
43,185912,2939795,397,No,Non-Graduate,Female,1
23,162867,2943361,570,Yes,Graduate,Male,0
42,299702,2951449,647,No,Non-Graduate,Female,1
36,319850,2960161,642,Yes,Non-Graduate,Male,1
32,285864,2970841,628,Yes,Non-Graduate,Female,1
43,124135,2979852,337,No,Graduate,Male,0
39,159718,3027721,362,Yes,Graduate,Female,1
33,337712,3040948,729,No,Non-Graduate,Male,1
26,70971,3059307,408,Yes,Non-Graduate,Male,0
48,22765,3069867,772,No,Non-Graduate,Male,0
25,138128,3088882,515,Yes,Non-Graduate,Female,0
63,31560,3089676,553,Yes,Graduate,Female,0
24,393460,3103348,416,Yes,Non-Graduate,Male,1
46,86060,3159407,540,No,Non-Graduate,Male,0
25,76747,3181050,679,No,Non-Graduate,Female,1
38,292448,3207418,650,No,Graduate,Female,1
63,313313,3228451,409,No,Non-Graduate,Male,1
37,232566,3234400,670,Yes,Non-Graduate,Female,1
50,88968,3239065,483,No,Graduate,Male,0
37,116502,3256319,389,No,Non-Graduate,Male,0
32,222123,3256532,354,Yes,Non-Graduate,Male,0
27,397972,3285654,415,No,Graduate,Male,1
62,139975,3323723,838,Yes,Non-Graduate,Male,0
37,110678,3342951,753,Yes,Non-Graduate,Female,1
21,175918,3400919,453,No,Graduate,Male,1
48,48633,3404020,753,Yes,Graduate,Male,0
55,119694,3415914,759,Yes,Non-Graduate,Female,0
53,311829,3438811,697,No,Non-Graduate,Female,1
37,263688,3439985,533,No,Graduate,Male,1
35,69178,3456010,522,Yes,Graduate,Male,0
22,310951,3473227,641,No,Graduate,Female,1
63,264754,3475495,667,No,Non-Graduate,Male,1
29,227384,3482108,406,No,Non-Graduate,Male,1
58,378577,3497104,351,No,Graduate,Male,0
63,330650,3500513,438,Yes,Graduate,Female,1
35,310693,3504029,720,Yes,Non-Graduate,Female,1
54,171733,3511174,575,No,Non-Graduate,Male,1
44,268004,3578125,725,No,Non-Graduate,Male,1
22,235189,3604128,763,No,Non-Graduate,Female,1
29,387029,3701848,724,No,Graduate,Female,1
62,354402,3708538,520,Yes,Graduate,Female,1
56,383334,3710568,323,No,Graduate,Male,1
64,69589,3736713,539,No,Non-Graduate,Female,0
57,95361,3737904,311,No,Graduate,Male,0
28,106322,3739046,444,Yes,Non-Graduate,Female,1
58,212319,3741622,731,No,Non-Graduate,Female,1
56,357547,3742529,559,Yes,Graduate,Male,1
26,67997,3744049,411,No,Non-Graduate,Male,0
51,386967,3763281,558,Yes,Graduate,Male,1
43,278835,3801343,504,No,Graduate,Male,1
33,332402,3811082,649,Yes,Non-Graduate,Male,1
23,305810,3881018,452,Yes,Graduate,Male,1
44,178957,3893755,372,Yes,Graduate,Female,1
21,398824,3899453,643,No,Non-Graduate,Female,1
39,174607,3900549,602,Yes,Graduate,Female,1
60,295848,3905090,512,No,Graduate,Male,1
37,223141,3936888,411,Yes,Graduate,Female,1
38,149065,3941041,759,Yes,Non-Graduate,Male,0
55,44976,3977445,505,No,Graduate,Female,0
23,296735,4040272,481,Yes,Non-Graduate,Male,1
61,35733,4046589,700,Yes,Non-Graduate,Female,0
23,329835,4050015,398,No,Non-Graduate,Male,1
23,282630,4060338,707,Yes,Graduate,Female,1
28,179912,4066926,511,Yes,Non-Graduate,Female,1
37,278916,4080161,665,Yes,Graduate,Female,1
64,386047,4129586,370,No,Graduate,Female,1
55,251110,4132758,832,No,Non-Graduate,Female,1
52,159491,4168433,509,Yes,Non-Graduate,Female,0
57,286383,4187927,775,Yes,Non-Graduate,Male,1
22,174934,4235872,775,Yes,Non-Graduate,Female,1
23,312915,4243384,471,Yes,Graduate,Female,1
31,127157,4246901,588,Yes,Non-Graduate,Male,1
32,307239,4250012,735,Yes,Non-Graduate,Female,1
53,143805,4257328,685,Yes,Non-Graduate,Male,1
38,265160,4275630,579,Yes,Non-Graduate,Female,1
45,113135,4286945,533,Yes,Non-Graduate,Male,0
53,144591,4339394,837,Yes,Graduate,Male,1
56,283445,4384296,386,No,Non-Graduate,Male,1
45,233286,4458388,569,Yes,Non-Graduate,Female,0
62,175075,4463595,513,No,Graduate,Female,1
56,298266,4484220,510,No,Non-Graduate,Female,1
27,307667,4484445,435,Yes,Non-Graduate,Female,1
38,179978,4508448,782,No,Graduate,Female,0
41,234637,4516371,301,No,Non-Graduate,Male,1
45,82287,4538458,649,No,Non-Graduate,Female,1
31,57260,4543027,485,No,Graduate,Female,0
22,103029,4563804,536,Yes,Graduate,Female,0
54,372513,4600585,501,No,Non-Graduate,Female,1
44,91537,4619635,778,Yes,Graduate,Male,1
62,107421,4627663,514,No,Non-Graduate,Female,0
31,297721,4641004,481,No,Non-Graduate,Male,1
24,138422,4660215,754,No,Graduate,Female,1
53,252362,4672608,404,Yes,Non-Graduate,Male,1
60,197190,4714863,351,No,Non-Graduate,Female,0
51,75805,4726302,485,No,Graduate,Female,0
35,306100,4773090,372,No,Graduate,Female,1
53,313561,4783598,593,Yes,Graduate,Female,1
56,351950,4802030,623,No,Non-Graduate,Female,1
39,37194,4819073,363,No,Graduate,Female,0
58,357576,4822585,782,Yes,Graduate,Female,1
51,289670,4856936,697,No,Graduate,Female,1
21,185803,4869648,529,No,Graduate,Female,1
42,392818,4872944,647,No,Graduate,Male,1
63,228785,4873099,546,No,Graduate,Male,1
39,269717,4881482,801,No,Graduate,Male,1
39,216594,4888154,815,No,Graduate,Female,1
35,159392,4927970,407,Yes,Graduate,Female,1
63,152903,4931207,729,Yes,Non-Graduate,Male,0
64,77480,4936788,541,Yes,Graduate,Female,0
36,208726,4937386,748,Yes,Non-Graduate,Male,1
55,164771,4962505,391,Yes,Graduate,Male,0
37,367526,4971826,765,No,Graduate,Male,1
47,47197,4972317,619,No,Non-Graduate,Female,0
55,281578,4983198,406,No,Graduate,Male,1
56,384446,4985279,483,Yes,Non-Graduate,Male,1
62,66562,5033331,815,No,Graduate,Female,1
64,303007,5042403,331,Yes,Non-Graduate,Male,1
61,35116,5052596,517,Yes,Graduate,Female,0
50,382355,5075719,666,No,Graduate,Male,1
37,254000,5098268,312,Yes,Graduate,Male,1
56,222701,5139584,499,No,Non-Graduate,Male,0
44,374835,5142869,801,No,Non-Graduate,Female,1
50,184437,5165577,626,No,Non-Graduate,Male,0
47,116055,5170025,466,No,Non-Graduate,Female,0
37,387747,5178949,829,Yes,Graduate,Male,1
59,259608,5179619,598,No,Graduate,Male,1
34,113079,5204914,368,Yes,Non-Graduate,Male,0
